iter	Passed	Remaining
0	124	124569
1	126	63092
2	128	42657
3	130	32387
4	131	26242
5	133	22113
6	135	19229
7	137	17002
8	138	15263
9	140	13875
10	141	12735
11	143	11792
12	144	10997
13	146	10308
14	147	9712
15	149	9197
16	151	8736
17	152	8338
18	154	7986
19	156	7667
20	158	7400
21	160	7151
22	163	6927
23	164	6705
24	166	6504
25	168	6316
26	170	6138
27	172	5979
28	174	5834
29	176	5695
30	178	5565
31	179	5441
32	181	5327
33	183	5213
34	185	5111
35	187	5010
36	188	4914
37	190	4824
38	192	4736
39	193	4654
40	195	4572
41	197	4502
42	199	4434
43	201	4375
44	203	4317
45	205	4259
46	207	4201
47	208	4144
48	210	4092
49	212	4038
50	214	3988
51	216	3946
52	218	3899
53	220	3855
54	221	3811
55	223	3770
56	225	3727
57	227	3689
58	229	3653
59	230	3616
60	232	3583
61	234	3549
62	236	3514
63	237	3480
64	239	3451
65	241	3421
66	243	3391
67	244	3356
68	246	3331
69	248	3305
70	250	3280
71	253	3264
72	255	3240
73	257	3217
74	258	3189
75	260	3172
76	262	3152
77	264	3130
78	266	3108
79	268	3087
80	270	3067
81	271	3043
82	273	3020
83	275	3000
84	276	2976
85	278	2958
86	279	2933
87	280	2911
88	282	2892
89	284	2873
90	285	2855
91	287	2840
92	289	2825
93	291	2814
94	293	2797
95	295	2780
96	296	2764
97	298	2746
98	300	2730
99	301	2716
100	303	2702
101	304	2683
102	306	2672
103	308	2656
104	309	2641
105	311	2625
106	312	2611
107	314	2599
108	316	2585
109	317	2572
110	319	2560
111	321	2549
112	323	2538
113	325	2526
114	326	2513
115	327	2499
116	329	2487
117	331	2475
118	332	2463
119	334	2454
120	336	2445
121	338	2434
122	339	2418
123	340	2408
124	342	2398
125	344	2389
126	346	2381
127	347	2370
128	350	2363
129	352	2356
130	354	2350
131	356	2341
132	358	2334
133	360	2326
134	361	2319
135	364	2313
136	366	2307
137	367	2298
138	369	2291
139	371	2283
140	373	2276
141	375	2270
142	377	2263
143	379	2258
144	381	2252
145	383	2245
146	385	2238
147	387	2231
148	389	2224
149	391	2219
150	393	2212
151	395	2208
152	397	2201
153	399	2194
154	401	2188
155	403	2182
156	406	2180
157	408	2176
158	410	2170
159	412	2165
160	414	2161
161	416	2153
162	418	2147
163	420	2141
164	422	2136
165	424	2130
166	426	2128
167	428	2122
168	430	2115
169	431	2108
170	433	2102
171	435	2095
172	436	2088
173	438	2082
174	441	2081
175	443	2076
176	445	2069
177	446	2063
178	448	2056
179	450	2050
180	450	2040
181	452	2033
182	453	2026
183	455	2022
184	458	2019
185	460	2014
186	462	2008
187	463	2003
188	465	1998
189	467	1992
190	469	1987
191	471	1985
192	473	1980
193	475	1976
194	477	1972
195	479	1967
196	481	1963
197	483	1958
198	485	1954
199	487	1950
200	489	1945
201	491	1940
202	493	1935
203	494	1930
204	496	1925
205	498	1921
206	500	1918
207	502	1915
208	504	1910
209	506	1905
210	508	1902
211	510	1898
